Id;LotFrontage;LotArea;Street;Utilities;Condition1;YearBuilt;Heating;HeatingQC;CentralAir;1stFlrSF;2ndFlrSF;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;KitchenQual;TotRmsAbvGrd;GarageCars;GarageArea;MoSold;YrSold;SaleType;SaleCondition;SalePrice
112;NA;7750;Pave;AllPub;Norm;2000;GasA;Ex;Y;774;656;2;1;3;1;TA;7;2;400;4;2010;WD;Normal;180000
113;77;9965;Pave;AllPub;Norm;2007;GasA;Ex;Y;1282;1414;2;1;4;1;Ex;10;3;792;10;2007;New;Partial;383970
114;NA;21000;Pave;AllPub;Norm;1953;GasA;TA;Y;2259;0;2;0;3;1;Gd;7;2;450;10;2007;COD;Abnorml;217000
115;61;7259;Pave;AllPub;Norm;1945;GasA;Ex;Y;1436;884;2;1;3;1;Gd;9;1;180;7;2007;WD;Normal;259500
116;34;3230;Pave;AllPub;Norm;1999;GasA;Gd;Y;729;729;2;1;2;1;TA;5;2;440;6;2007;WD;Normal;176000
117;NA;11616;Pave;AllPub;Norm;1962;GasA;TA;Y;1092;0;1;0;3;1;TA;6;1;288;9;2009;WD;Normal;139000
118;74;8536;Pave;AllPub;Norm;2006;GasA;Gd;Y;1125;0;1;1;2;1;TA;5;2;430;4;2007;New;Partial;155000
119;90;12376;Pave;AllPub;Norm;1990;GasA;Gd;Y;1699;1523;3;0;5;1;Gd;11;3;594;5;2010;WD;Normal;320000
120;65;8461;Pave;AllPub;Norm;2005;GasA;Ex;Y;728;728;2;1;3;1;Gd;8;2;390;7;2006;New;Partial;163990
121;NA;21453;Pave;AllPub;Norm;1969;GasA;Ex;Y;988;0;1;0;1;1;TA;4;2;540;10;2006;WD;Normal;180000
122;50;6060;Pave;AllPub;Norm;1939;GasA;Gd;Y;772;351;1;0;3;1;TA;4;1;264;6;2007;WD;Normal;100000
123;75;9464;Pave;AllPub;Norm;1958;GasA;Gd;Y;1080;0;1;0;3;1;TA;5;1;288;6;2008;WD;Normal;136000
124;55;7892;Pave;AllPub;Norm;1993;GasA;Ex;Y;1199;0;2;0;2;1;Gd;5;2;530;3;2008;WD;Normal;153900
125;48;17043;Pave;AllPub;Norm;1979;GasA;TA;Y;1586;0;2;0;3;1;TA;7;2;435;1;2009;WD;Normal;181000
126;60;6780;Pave;AllPub;Norm;1935;GasA;Gd;N;520;0;1;0;2;1;TA;5;0;0;6;2006;WD;Normal;84500
127;NA;4928;Pave;AllPub;Norm;1976;GasA;TA;Y;958;0;2;0;2;1;TA;5;2;440;2;2007;WD;Normal;128000
128;55;4388;Pave;AllPub;Feedr;1930;GasA;Ex;Y;840;0;1;0;3;1;TA;5;0;0;6;2007;WD;Normal;87000
129;69;7590;Pave;AllPub;PosN;1966;GasA;TA;Y;660;688;1;1;3;1;TA;6;2;453;7;2006;WD;Normal;155000
130;69;8973;Pave;AllPub;Norm;1958;GasA;TA;Y;1053;0;1;1;3;1;Ex;6;2;750;7;2006;WD;Abnorml;150000
131;88;14200;Pave;AllPub;Norm;1966;GasA;Ex;Y;1216;941;2;1;4;1;Gd;8;2;487;5;2006;WD;Normal;226000
132;NA;12224;Pave;AllPub;Norm;2000;GasA;Ex;Y;1022;1032;2;1;3;1;Gd;7;2;390;7;2009;WD;Normal;244000
133;75;7388;Pave;AllPub;Norm;1959;GasA;Gd;Y;1327;0;1;0;3;1;Gd;7;2;624;7;2007;WD;Normal;150750
134;NA;6853;Pave;AllPub;Norm;2001;GasA;Ex;Y;1296;0;2;0;2;1;Gd;6;2;471;6;2009;WD;Normal;220000
135;78;10335;Pave;AllPub;Norm;1968;GasA;Gd;Y;1721;0;2;1;3;1;TA;7;2;440;7;2006;WD;Normal;180000
136;80;10400;Pave;AllPub;Norm;1970;GasA;Gd;Y;1682;0;2;0;3;1;TA;7;2;530;5;2008;WD;Normal;174000
137;NA;10355;Pave;AllPub;Norm;1967;GasA;TA;Y;1214;0;2;0;3;1;TA;5;1;318;7;2007;WD;Normal;143000
138;82;11070;Pave;AllPub;Norm;1988;GasA;Gd;Y;1959;0;3;0;5;2;TA;9;3;766;7;2006;WD;Family;171000
139;73;9066;Pave;AllPub;Norm;1999;GasA;Ex;Y;1004;848;2;1;3;1;Gd;7;3;660;12;2008;WD;Normal;230000
140;65;15426;Pave;AllPub;Norm;1997;GasA;Ex;Y;928;836;2;1;3;1;Gd;7;2;470;8;2009;WD;Normal;231500
141;70;10500;Pave;AllPub;Norm;1971;GasA;TA;Y;864;0;1;0;3;1;TA;5;0;0;4;2010;ConLI;Normal;115000
142;78;11645;Pave;AllPub;Norm;2005;GasA;Ex;Y;1734;0;2;0;3;1;Gd;7;2;660;1;2006;WD;Normal;260000
143;71;8520;Pave;AllPub;Artery;1952;GasA;Fa;Y;910;475;2;0;4;1;TA;6;2;720;6;2010;WD;Normal;166000
144;78;10335;Pave;AllPub;Norm;1999;GasA;Ex;Y;1501;0;2;0;3;1;Gd;6;2;577;6;2009;WD;Normal;204000
145;70;9100;Pave;AllPub;RRAe;1963;GasA;TA;Y;1728;0;2;0;6;2;TA;10;2;504;11;2006;ConLI;Abnorml;125000
146;24;2522;Pave;AllPub;Norm;2004;GasA;Ex;Y;970;739;2;0;3;1;Gd;7;2;380;4;2006;WD;Normal;130000
147;51;6120;Pave;AllPub;Norm;1931;GasA;TA;Y;875;0;1;0;2;1;TA;5;1;180;11;2009;WD;Normal;105000
148;NA;9505;Pave;AllPub;Norm;2001;GasA;Ex;Y;884;1151;2;1;3;1;Gd;8;2;434;5;2010;WD;Normal;222500
149;63;7500;Pave;AllPub;Norm;2004;GasA;Ex;Y;1080;0;1;0;3;1;Gd;6;0;0;4;2008;WD;Normal;141000
150;NA;6240;Pave;AllPub;Norm;1936;GasA;Gd;Y;896;448;1;0;3;1;TA;7;1;240;4;2006;WD;Normal;115000
151;120;10356;Pave;AllPub;Norm;1975;GasA;TA;Y;969;0;1;1;3;1;TA;5;2;440;1;2007;WD;Normal;122000
152;107;13891;Pave;AllPub;Norm;2007;GasA;Ex;Y;1710;0;2;0;2;1;Gd;6;3;866;1;2008;New;Partial;372402
153;NA;14803;Pave;AllPub;Norm;1971;GasA;Gd;Y;1097;896;2;1;4;1;TA;8;2;495;6;2006;WD;Normal;190000
154;NA;13500;Pave;AllPub;Norm;1960;GasA;Gd;Y;1252;0;1;0;1;1;TA;4;2;564;3;2008;WD;Normal;235000
155;84;11340;Pave;AllPub;Norm;1923;GasA;TA;Y;1200;0;1;0;4;1;TA;7;1;312;3;2006;WD;Family;125000
156;60;9600;Pave;AllPub;Artery;1924;Grav;Fa;N;572;524;1;0;2;1;TA;5;0;0;4;2008;WD;Normal;79000
157;60;7200;Pave;AllPub;Norm;1950;GasA;TA;Y;1040;0;1;0;2;1;TA;5;2;625;6;2006;WD;Normal;109500
158;92;12003;Pave;AllPub;Norm;2009;GasA;Ex;Y;774;1194;2;1;4;1;Ex;8;3;680;5;2010;New;Partial;269500
159;100;12552;Pave;AllPub;Norm;2004;GasA;Ex;Y;991;956;2;1;3;1;Gd;8;2;678;5;2010;WD;Normal;254900
160;134;19378;Pave;AllPub;Norm;2005;GasA;Ex;Y;1392;1070;2;1;4;1;Gd;9;2;576;3;2006;New;Partial;320000
161;NA;11120;Pave;AllPub;Norm;1984;GasA;TA;Y;1232;0;2;0;3;1;TA;6;2;516;6;2008;WD;Normal;162500
162;110;13688;Pave;AllPub;Norm;2003;GasA;Ex;Y;1572;1096;2;1;3;1;Ex;10;3;726;3;2008;WD;Normal;412500
163;95;12182;Pave;AllPub;Norm;2005;GasA;Ex;Y;1541;0;2;0;3;1;Gd;7;2;532;5;2010;New;Partial;220000
164;55;5500;Pave;AllPub;Norm;1956;GasA;Ex;Y;882;0;1;0;1;1;TA;4;0;0;4;2007;WD;Normal;103200
165;40;5400;Pave;AllPub;Norm;1926;GasA;Gd;Y;1149;467;2;0;3;1;Gd;5;1;216;10;2007;WD;Normal;152000
166;62;10106;Pave;AllPub;Norm;1940;GasA;Gd;Y;808;547;2;0;4;2;TA;6;0;0;9;2008;WD;Normal;127500
167;NA;10708;Pave;AllPub;Norm;1955;GasA;Ex;Y;1867;0;1;0;2;1;TA;7;1;303;11;2009;COD;Normal;190000
168;86;10562;Pave;AllPub;Norm;2007;GasA;Ex;Y;1610;551;1;1;3;1;Ex;8;3;789;11;2007;New;Partial;325624
169;62;8244;Pave;AllPub;Norm;2004;GasA;Ex;Y;840;880;2;1;3;1;Gd;7;2;440;5;2007;WD;Normal;183500
170;NA;16669;Pave;AllPub;Norm;1981;GasA;TA;Y;1707;0;2;1;2;1;TA;6;2;511;1;2006;WD;Normal;228000
171;NA;12358;Pave;AllPub;Feedr;1941;GasA;TA;Y;854;0;1;1;2;1;TA;7;2;660;5;2007;WD;Normal;128500
172;141;31770;Pave;AllPub;Norm;1960;GasA;Fa;Y;1656;0;1;0;3;1;TA;7;2;528;5;2010;WD;Normal;215000
173;44;5306;Pave;AllPub;Norm;1987;GasA;Gd;Y;1064;703;2;0;2;1;Gd;5;2;504;6;2006;WD;Normal;239000
174;80;10197;Pave;AllPub;Norm;1961;GasA;TA;Y;1362;0;1;1;3;1;TA;6;2;504;6;2008;COD;Normal;163000
175;47;12416;Pave;AllPub;Norm;1986;GasA;TA;Y;1651;0;2;0;3;1;TA;7;2;616;11;2008;WD;Normal;184000
176;84;12615;Pave;AllPub;Norm;1950;GasA;TA;Y;2158;0;2;0;4;1;Gd;7;2;576;6;2007;WD;Normal;243000
177;97;10029;Pave;AllPub;Norm;1988;GasA;TA;Y;1164;896;2;1;4;1;TA;8;2;521;9;2007;WD;Normal;211000
178;NA;13650;Pave;AllPub;Norm;1958;GasA;Ex;Y;1252;668;2;0;4;1;Gd;8;2;451;7;2006;WD;Normal;172500
179;63;17423;Pave;AllPub;Norm;2008;GasA;Ex;Y;2234;0;2;0;1;1;Ex;9;3;1166;7;2009;New;Partial;501837
180;60;8520;Pave;AllPub;Norm;1923;GasA;TA;Y;968;0;1;0;2;1;TA;5;2;480;7;2007;WD;Normal;100000
181;NA;2117;Pave;AllPub;Norm;2000;GasA;Ex;Y;769;756;2;1;3;1;Gd;5;2;440;6;2007;WD;Normal;177000
182;54;7588;Pave;AllPub;Norm;1920;GasA;Gd;Y;901;901;1;1;4;1;TA;9;1;216;7;2006;WD;Normal;200100
183;60;9060;Pave;AllPub;Artery;1957;GasA;Ex;Y;1340;0;1;0;3;1;TA;7;1;252;6;2007;WD;Normal;120000
184;63;11426;Pave;AllPub;Norm;2003;GasA;Ex;Y;1362;720;2;1;3;1;Gd;6;2;484;6;2008;WD;Normal;200000
185;92;7438;Pave;AllPub;RRAn;1908;GasA;Gd;Y;936;316;1;0;3;1;TA;5;2;576;6;2006;WD;Normal;127000
186;90;22950;Pave;AllPub;Artery;1892;GasA;Ex;Y;1518;1518;2;1;4;1;Ex;12;3;840;6;2006;WD;Normal;475000
187;NA;9947;Pave;AllPub;Norm;1990;GasA;Ex;Y;1217;0;2;0;3;1;Gd;6;2;497;6;2009;WD;Normal;173000
188;60;10410;Pave;AllPub;Norm;1916;GasA;Ex;Y;808;704;2;1;3;1;TA;8;1;180;8;2009;WD;Normal;135000
189;64;7018;Pave;AllPub;Feedr;1979;GasA;TA;Y;1224;0;0;2;2;2;TA;6;2;528;6;2009;WD;Alloca;153337
190;41;4923;Pave;AllPub;Norm;2001;GasA;Ex;Y;1593;0;1;1;0;1;Ex;5;2;682;8;2008;WD;Normal;286000
191;70;10570;Pave;AllPub;Norm;1932;GasA;TA;Y;1549;1178;2;1;3;1;Gd;10;2;440;12;2007;WD;Normal;315000
192;NA;7472;Pave;AllPub;Norm;1972;GasA;Gd;Y;725;754;1;1;4;1;Gd;7;2;484;6;2007;WD;Normal;184000
